,Symbol,Name,Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dil,EPS dil growth,Div yield %,Sector,Analyst Rating
0,A,"Agilent Technologies, Inc.",130.56 USD,−0.34%,1.394M,0.93,38.255B USD,31.09,4.20 USD,+0.48%,0.70%,Health Technology,Buy
1,AA,Alcoa Corporation,32.13 USD,+3.21%,7.318M,1.30,5.734B USD,—,−4.93 USD,−491.83%,1.24%,Non-Energy Minerals,Neutral
2,AACI,Armada Acquisition Corp. I,10.84 USD,+0.09%,12.047K,0.55,87.51M USD,—,−0.08 USD,+56.55%,0.00%,Finance,—
3,AACT,Ares Acquisition Corporation II,10.48 USD,+0.38%,120,0.01,524M USD,—,—,—,0.00%,Finance,—
4,AADI,"Aadi Bioscience, Inc.",1.76 USD,−4.35%,604.384K,0.94,43.166M USD,—,−2.36 USD,+20.84%,0.00%,Health Technology,Strong buy
5,A,AAGR,1.04 USD,−5.45%,358.419K,0.22,60.182M USD,—,−0.30 USD,−40.14%,0.00%,Process Industries,—
6,AAL,"American Airlines Group, Inc.",13.60 USD,+3.90%,37.542M,1.37,8.888B USD,6.24,2.18 USD,—,0.00%,Transportation,Neutral
7,AAMC,Altisource Asset Management Corp Com,3.82 USD,−5.68%,43.579K,2.36,10.559M USD,—,−6.28 USD,−39.01%,0.00%,Finance,—
8,AAME,Atlantic American Corporation,2.50 USD,+2.46%,8.383K,0.69,51.006M USD,20.44,0.12 USD,+1.58%,0.80%,Finance,—
9,AAN,"Aarons Holdings Company, Inc.",11.32 USD,−0.35%,391.697K,1.26,343.328M USD,38.56,0.29 USD,−41.72%,4.42%,Retail Trade,Buy
10,AAOI,"Applied Optoelectronics, Inc.",20.15 USD,+8.74%,2.951M,0.99,716.062M USD,—,−2.12 USD,+3.68%,0.00%,Electronic Technology,Buy
11,AAON,"AAON, Inc.",72.45 USD,−1.75%,349.631K,1.10,5.886B USD,35.49,2.04 USD,+143.84%,0.44%,Producer Manufacturing,Buy
12,AAP,Advance Auto Parts Inc.,61.52 USD,+1.70%,1.286M,0.94,3.661B USD,19.72,3.12 USD,−59.88%,5.69%,Retail Trade,Neutral
13,AAPL,Apple Inc.,181.18 USD,−0.40%,62.38M,1.24,2.818T USD,29.56,6.13 USD,+0.45%,0.52%,Electronic Technology,Buy
14,AAU,"Almaden Minerals, Ltd.",0.1363 USD,0.00%,65.358K,0.40,18.703M USD,—,−0.06 USD,−608.94%,0.00%,Non-Energy Minerals,—
15,AB,AllianceBernstein Holding L.P.,31.10 USD,+0.16%,238.957K,0.63,3.477B USD,14.02,2.22 USD,−34.49%,8.42%,Finance,Buy
16,A,ABAT,4.15 USD,−2.35%,564.55K,1.08,203.982M USD,—,−0.33 USD,−1218.40%,0.00%,Non-Energy Minerals,Strong buy
17,ABBV,AbbVie Inc.,162.14 USD,+0.42%,4.853M,1.06,286.264B USD,44.38,3.65 USD,−51.30%,3.65%,Health Technology,Buy
18,ABCB,Ameris Bancorp,50.57 USD,+0.26%,355.267K,0.75,3.492B USD,12.26,4.12 USD,—,1.19%,Finance,Buy
19,ABCL,AbCellera Biologics Inc.,5.84 USD,−1.68%,1.401M,1.10,1.695B USD,—,−0.45 USD,−156.39%,0.00%,Health Technology,Strong buy
20,ABEO,Abeona Therapeutics Inc.,5.66 USD,−1.74%,174.022K,0.54,140.217M USD,—,−2.00 USD,+88.64%,0.00%,Health Technology,Strong buy
21,ABG,Asbury Automotive Group Inc,205.54 USD,−0.71%,106.022K,0.69,4.229B USD,4.91,41.87 USD,+19.17%,0.00%,Retail Trade,Buy
22,ABIO,"ARCA biopharma, Inc.",1.63 USD,−0.61%,11.946K,0.31,23.489M USD,—,−0.38 USD,+62.41%,0.00%,Health Technology,—
23,ABL,"Abacus Life, Inc.",10.42 USD,−1.79%,25.885K,0.42,660.105M USD,61.44,0.17 USD,−60.00%,0.00%,Finance,—
24,ABLV,Able View Global Inc.,2.48 USD,−4.25%,4.472K,0.29,105.051M USD,—,—,—,0.00%,Commercial Services,—
25,ABM,ABM Industries Incorporated,42.45 USD,−1.96%,645.038K,1.23,2.668B USD,11.20,3.79 USD,+11.06%,2.07%,Commercial Services,Neutral
26,ABNB,"Airbnb, Inc.",135.98 USD,+1.69%,4.007M,1.05,88.285B USD,16.47,8.26 USD,+245.38%,0.00%,Consumer Services,Neutral
27,ABOS,"Acumen Pharmaceuticals, Inc.",4.02 USD,0.00%,442.848K,0.75,232.8M USD,—,−1.11 USD,−17.48%,0.00%,Health Technology,Strong buy
28,ABSI,Absci Corporation,3.62 USD,−2.69%,1.276M,0.62,336.437M USD,—,−1.16 USD,+4.37%,0.00%,Commercial Services,Strong buy
29,ABT,Abbott Laboratories,110.80 USD,−0.16%,4.128M,1.08,192.355B USD,37.65,2.94 USD,−33.63%,1.84%,Health Technology,Buy
30,ABTS,Abits Group Inc,1.23 USD,−0.81%,27.463K,0.21,43.729M USD,—,—,—,0.00%,Technology Services,—
31,ABUS,Arbutus Biopharma Corporation,2.49 USD,−0.40%,560.415K,0.75,417.561M USD,—,−0.47 USD,+0.62%,0.00%,Health Technology,Strong buy
32,ABVC,"ABVC BioPharma, Inc.",1.37 USD,−2.84%,1.482M,0.15,10.609M USD,—,−3.55 USD,+10.20%,0.00%,Health Technology,—
33,AC,"Associated Capital Group, Inc.",34.40 USD,−1.52%,6.072K,1.30,742.754M USD,21.74,1.58 USD,—,0.58%,Finance,—
34,ACA,"Arcosa, Inc.",78.37 USD,−0.11%,167.247K,0.75,3.821B USD,13.33,5.88 USD,+186.40%,0.26%,Producer Manufacturing,Strong buy
35,ACAB,Atlantic Coastal Acquisition Corp. II,10.60 USD,+0.19%,622,0.03,115.918M USD,75.93,0.14 USD,—,0.00%,Finance,—
36,ACAC,Acri Capital Acquisition Corporation,11.14 USD,+0.72%,200,0.01,36.261M USD,86.16,0.13 USD,—,0.00%,Finance,—
37,ACAD,ACADIA Pharmaceuticals Inc.,30.33 USD,+1.27%,1.248M,0.86,4.98B USD,—,−0.91 USD,+32.25%,0.00%,Health Technology,Buy
38,ACAH,Atlantic Coastal Acquisition Corp.,10.54 USD,−0.47%,379.263K,87.97,128.141M USD,—,—,—,0.00%,Finance,—
39,ACAX,Alset Capital Acquisition Corp.,10.30 USD,+3.10%,227,0.05,47.442M USD,160.94,0.06 USD,+7900.00%,0.00%,Finance,—
40,ACBA,Ace Global Business Acquisition Limited,11.88 USD,+0.42%,200,0.01,40.762M USD,—,−0.01 USD,−116.81%,0.00%,Finance,—
41,ACCD,"Accolade, Inc.",11.14 USD,−0.36%,765.657K,1.20,849.227M USD,—,−1.94 USD,+66.38%,0.00%,Technology Services,Buy
42,ACCO,Acco Brands Corporation,6.40 USD,+2.89%,920.906K,1.20,607.524M USD,10.93,0.59 USD,+195.51%,4.69%,Producer Manufacturing,Strong buy
43,ACDC,ProFrac Holding Corp.,8.00 USD,+4.71%,878.75K,1.23,1.275B USD,8.59,0.93 USD,—,0.00%,Industrial Services,Buy
44,ACEL,"Accel Entertainment, Inc.",9.85 USD,+0.20%,297.038K,1.40,835.312M USD,20.00,0.49 USD,−32.61%,0.00%,Consumer Services,Strong buy
45,ACET,"Adicet Bio, Inc.",2.42 USD,+12.04%,2.882M,3.21,104.458M USD,—,−3.35 USD,−130.09%,0.00%,Health Technology,Buy
46,ACGL,Arch Capital Group Ltd.,76.81 USD,−0.85%,2.074M,1.34,28.663B USD,9.83,7.81 USD,+150.39%,0.00%,Finance,Buy
47,ACHC,"Acadia Healthcare Company, Inc.",79.25 USD,+1.19%,748.35K,1.93,7.308B USD,—,−0.21 USD,−106.79%,0.00%,Health Services,Buy
48,ACHR,Archer Aviation Inc.,5.53 USD,−2.12%,2.7M,0.70,1.663B USD,—,−1.77 USD,−59.73%,0.00%,Electronic Technology,Strong buy
49,ACHV,"Achieve Life Sciences, Inc.",3.88 USD,−4.67%,60.912K,0.77,82.123M USD,—,−2.10 USD,+47.37%,0.00%,Health Technology,Strong buy
50,ACI,"Albertsons Companies, Inc.",23.04 USD,+2.22%,6.391M,1.87,13.269B USD,12.16,1.89 USD,−32.61%,2.08%,Retail Trade,Neutral
51,ACIC,American Coastal Insurance Corporation,9.90 USD,+1.96%,195.845K,0.71,434.588M USD,—,−0.21 USD,+94.84%,0.00%,Finance,—
52,ACIU,AC Immune SA,4.28 USD,−3.39%,138.14K,0.70,422.647M USD,—,−0.88 USD,+5.77%,0.00%,Health Technology,Strong buy
