0,A,"Agilent Technologies, Inc.",146.39 USD,−0.66%,163.337 K,0.08,42.9 B USD,34.87,4.20 USD,−5.25%,0.63%,Health Technology,Neutral
1,AA,Alcoa Corporation,33.28 USD,+0.23%,993.623 K,0.16,5.977 B USD,—,−3.66 USD,−337.79%,1.27%,Non-Energy Minerals,Neutral
2,AACI,Armada Acquisition Corp. I,11.17 USD,+0.90%,2.847 K,0.23,90.174 M USD,—,−0.15 USD,−216.91%,0.00%,Finance,—
3,AACT,Ares Acquisition Corporation II,10.57 USD,+0.05%,105,0.00,660.625 M USD,39.06,0.27 USD,—,0.00%,Finance,—
4,AADI,"Aadi Bioscience, Inc.",2.39 USD,+0.84%,93.366 K,0.35,58.685 M USD,—,−2.44 USD,+10.58%,0.00%,Health Technology,Strong buy
5,A,AAGR,0.4190 USD,+7.44%,26.588 K,0.13,24.246 M USD,—,−0.30 USD,−40.14%,0.00%,Process Industries,—
6,AAL,"American Airlines Group, Inc.",15.25 USD,−0.33%,4.383 M,0.19,9.985 B USD,14.02,1.09 USD,+10161.32%,0.00%,Transportation,Buy
7,AAMC,Altisource Asset Management Corp Com,3.38 USD,−2.17%,355,0.03,9.329 M USD,—,−6.28 USD,−39.01%,0.00%,Finance,—
8,AAME,Atlantic American Corporation,2.80 USD,0.00%,795,0.09,57.126 M USD,22.89,0.12 USD,+1.58%,0.73%,Finance,—
9,AAN,"Aarons Holdings Company, Inc.",7.48 USD,+0.94%,18.136 K,0.06,235.504 M USD,95.77,0.08 USD,—,7.10%,Retail Trade,Neutral
10,AAOI,"Applied Optoelectronics, Inc.",13.87 USD,−0.64%,275.053 K,0.17,532.581 M USD,—,−1.79 USD,+24.78%,0.00%,Electronic Technology,Buy
11,AAON,"AAON, Inc.",86.53 USD,−0.16%,14.244 K,0.04,7.059 B USD,40.59,2.13 USD,+72.79%,0.37%,Producer Manufacturing,Buy
12,AAP,Advance Auto Parts Inc.,85.61 USD,+0.34%,96.026 K,0.04,5.098 B USD,115.63,0.74 USD,−91.04%,2.67%,Retail Trade,Neutral
13,AAPL,Apple Inc.,171.20 USD,−1.22%,13.998 M,0.19,2.644 T USD,26.64,6.43 USD,+9.20%,0.57%,Electronic Technology,Buy
14,AAU,"Almaden Minerals, Ltd.",0.1400 USD,0.00%,138.059 K,0.62,19.211 M USD,—,−0.35 USD,−449.43%,0.00%,Non-Energy Minerals,—
15,AB,AllianceBernstein Holding L.P.,35.17 USD,+1.21%,31.357 K,0.10,3.932 B USD,15.02,2.34 USD,−13.44%,7.87%,Finance,Buy
16,ABAT,American Battery Technology Company,1.75 USD,+9.68%,295.841 K,0.40,91.048 M USD,—,−2.80 USD,−563.85%,0.00%,Non-Energy Minerals,Strong buy
17,ABBV,AbbVie Inc.,181.21 USD,+0.48%,460.969 K,0.06,320.103 B USD,66.61,2.72 USD,−58.98%,3.34%,Health Technology,Buy
18,ABCB,Ameris Bancorp,48.24 USD,+0.21%,6.958 K,0.02,3.33 B USD,12.38,3.90 USD,—,1.29%,Finance,Buy
19,ABCL,AbCellera Biologics Inc.,4.53 USD,+0.89%,264.333 K,0.26,1.326 B USD,—,−0.51 USD,−201.79%,0.00%,Health Technology,Strong buy
20,ABEO,Abeona Therapeutics Inc.,7.30 USD,−0.61%,50.844 K,0.12,199.555 M USD,—,−2.59 USD,+60.51%,0.00%,Health Technology,Strong buy
21,ABG,Asbury Automotive Group Inc,235.28 USD,+0.66%,8.032 K,0.05,4.801 B USD,8.23,28.59 USD,−35.99%,0.00%,Retail Trade,Buy
22,ABIO,"ARCA biopharma, Inc.",1.75 USD,0.00%,2.583 K,0.07,25.377 M USD,—,−0.37 USD,+46.28%,0.00%,Health Technology,—
23,ABL,"Abacus Life, Inc.",12.20 USD,+4.63%,4.761 K,0.21,777.076 M USD,71.93,0.17 USD,−60.00%,0.00%,Finance,—
24,ABLV,Able View Global Inc.,2.24 USD,−8.29%,112.725 K,1.59,93.808 M USD,—,—,—,0.00%,Commercial Services,—
25,ABM,ABM Industries Incorporated,44.53 USD,+0.27%,12.928 K,0.01,2.818 B USD,11.38,3.91 USD,+36.06%,2.02%,Commercial Services,Neutral
26,ABNB,"Airbnb, Inc.",166.31 USD,−0.06%,336.519 K,0.08,107.65 B USD,22.99,7.23 USD,+159.75%,0.00%,Consumer Services,Neutral
