,Symbol,Name,Price,Change %,Volume,Rel Volume,Market Cap,P/E,EPS (dil TTM),EPS Growth (TTM YoY),Div Yield % TTM,Sector,Analyst Rating
0,A,"Agilent Technologies, Inc.",143.82,+0.76%,1427000.0,1.19,41323000000.0,29.81,4.83 USD,+26.54%,0.65%,Health technology,Buy
1,AA,Alcoa Corporation,41.02,+4.51%,5202000.0,1.19,10597000000.0,—,−3.08 USD,+62.20%,0.98%,Non-energy minerals,Buy
2,AACT,Ares Acquisition Corporation II,10.8,−0.18%,66766.0,1.54,675000000.0,25.64,0.42 USD,—,0.00%,Finance,—
3,AADI,"Aadi Bioscience, Inc.",2.05,+3.02%,93173.0,0.89,50460000.0,—,−2.43 USD,+0.34%,0.00%,Health technology,Neutral
4,AAL,"American Airlines Group, Inc.",11.79,+0.26%,17693000.0,0.51,7743000000.0,—,−0.28 USD,−107.72%,0.00%,Transportation,Buy
5,AAM,AA Mission Acquisition Corp.,10.02,0.00%,24264.0,0.08,440619000.0,—,—,—,0.00%,Finance,—
6,AAME,Atlantic American Corporation,1.69,+1.81%,1205.0,0.22,34476000.0,—,−0.18 USD,"−2,425.97%",1.18%,Finance,—
7,AAOI,"Applied Optoelectronics, Inc.",17.86,+7.20%,2332000.0,0.99,730397000.0,—,−1.92 USD,+20.40%,0.00%,Electronic technology,Buy
8,AAON,"AAON, Inc.",112.45,+3.55%,347588.0,1.20,9110000000.0,50.47,2.23 USD,+23.48%,0.28%,Producer manufacturing,Buy
9,AAP,Advance Auto Parts Inc.,37.53,+0.35%,1772000.0,0.56,2240000000.0,"3,235.34",0.01 USD,−99.80%,2.66%,Retail trade,Neutral
10,AAPL,Apple Inc.,227.55,−0.65%,31758000.0,0.82,3460000000000.0,34.65,6.57 USD,+10.38%,0.43%,Electronic technology,Buy
11,AB,AllianceBernstein Holding L.P.,35.37,+0.48%,209151.0,1.24,4054000000.0000005,12.31,2.87 USD,+26.25%,8.09%,Finance,Buy
12,ABAT,American Battery Technology Company,1.01,+1.00%,431438.0,0.72,72769000.0,—,−0.91 USD,+65.68%,0.00%,Non-energy minerals,—
13,ABBV,AbbVie Inc.,194.19,−0.08%,2973000.0,0.71,343006000000.0,64.95,2.99 USD,−38.60%,3.16%,Health technology,Buy
14,ABCB,Ameris Bancorp,62.86,+3.76%,331099.0,1.08,4342000000.0,13.94,4.51 USD,—,0.95%,Finance,Buy
15,ABCL,AbCellera Biologics Inc.,2.59,+3.60%,1732000.0,1.16,763184000.0,—,−0.53 USD,−98.34%,0.00%,Health technology,Strong buy
16,ABEO,Abeona Therapeutics Inc.,6.41,−2.58%,207300.0,0.66,277645000.0,—,−2.55 USD,+15.27%,0.00%,Health technology,Strong buy
17,ABG,Asbury Automotive Group Inc,223.13,+0.59%,299074.0,2.13,4458000000.0,11.45,19.48 USD,−54.61%,0.00%,Retail trade,Neutral
18,ABL,"Abacus Life, Inc.",10.24,+5.13%,51575.0,1.08,764430000.0,—,−0.09 USD,+65.30%,0.00%,Finance,Strong buy
19,ABLV,Able View Global Inc.,0.92,+6.98%,8723.0,0.40,38307000.0,—,—,—,0.00%,Retail trade,—
20,ABM,ABM Industries Incorporated,53.39,+2.67%,389938.0,0.92,3352000000.0,22.02,2.42 USD,−31.85%,1.68%,Commercial services,Neutral
21,ABNB,"Airbnb, Inc.",134.4,+1.20%,2715000.0,0.87,86234000000.0,18.30,7.34 USD,+115.21%,0.00%,Consumer services,Neutral
22,ABOS,"Acumen Pharmaceuticals, Inc.",2.35,+4.44%,196213.0,1.33,141187000.0,—,−1.11 USD,+2.07%,0.00%,Health technology,Strong buy
23,ABSI,Absci Corporation,4.07,+7.39%,1175000.0,1.75,462174000.0,—,−0.93 USD,+23.61%,0.00%,Health technology,Strong buy
24,ABT,Abbott Laboratories,116.12,+0.43%,3471000.0,0.79,202037000000.0,36.65,3.17 USD,+7.97%,1.86%,Health technology,Buy
25,ABTS,Abits Group Inc,0.4439,+6.96%,1760.0,0.14,15783000.0,—,−0.26 USD,"−5,913.64%",0.00%,Technology services,—
26,ABUS,Arbutus Biopharma Corporation,3.88,+2.37%,443989.0,0.59,732474000.0,—,−0.44 USD,+4.48%,0.00%,Health technology,Strong buy
27,ABVC,"ABVC BioPharma, Inc.",0.472,−0.55%,73296.0,0.74,5863000.0,—,−1.70 USD,+55.94%,0.00%,Health technology,—
28,ABVE,Above Food Ingredients Inc.,0.559,−0.18%,43640.0,1.33,15543000.0,—,−0.02 USD,−141.88%,0.00%,Consumer non-durables,—
29,AC,"Associated Capital Group, Inc.",36.6,−0.02%,2498.0,0.58,778591000.0,23.78,1.54 USD,+84.59%,0.55%,Finance,—
30,ACA,"Arcosa, Inc.",94.67,+1.51%,115043.0,0.71,4618000000.0,31.41,3.01 USD,−48.15%,0.21%,Producer manufacturing,Strong buy
31,ACAB,Atlantic Coastal Acquisition Corp. II,11.1,−0.54%,3705.0,0.88,90658000.0,—,−0.17 USD,−208.57%,0.00%,Finance,—
32,ACAD,ACADIA Pharmaceuticals Inc.,14.92,+2.54%,922260.0,0.66,2475000000.0,83.59,0.18 USD,—,0.00%,Health technology,Buy
33,ACCD,"Accolade, Inc.",3.79,−2.07%,1709000.0,0.81,305236000.0,—,−1.03 USD,+47.17%,0.00%,Technology services,Buy
34,ACCO,Acco Brands Corporation,5.25,+0.38%,626756.0,1.12,502939000.0,—,−1.83 USD,−518.75%,5.71%,Producer manufacturing,Strong buy
35,ACDC,ProFrac Holding Corp.,7.31,−0.54%,924553.0,1.24,1171000000.0,—,−1.25 USD,−185.96%,0.00%,Industrial services,Neutral
36,ACEL,"Accel Entertainment, Inc.",11.46,+1.15%,84713.0,0.74,946994000.0,20.34,0.56 USD,−9.19%,0.00%,Consumer services,Strong buy
37,ACET,"Adicet Bio, Inc.",1.39,−0.71%,244079.0,0.34,114537000.0,—,−2.53 USD,+6.94%,0.00%,Health technology,Buy
38,ACGL,Arch Capital Group Ltd.,114.4,+0.44%,1452000.0,0.85,43021000000.0,8.05,14.21 USD,+138.74%,0.00%,Finance,Buy
39,ACHC,"Acadia Healthcare Company, Inc.",54.82,−1.17%,1040999.9999999999,0.34,5091000000.0,—,−0.08 USD,−102.60%,0.00%,Health services,Buy
40,ACHR,Archer Aviation Inc.,3.08,+4.76%,10986000.0,0.86,1095000000.0,—,−1.23 USD,+37.45%,0.00%,Electronic technology,Strong buy
41,ACHV,"Achieve Life Sciences, Inc.",5.0,+1.01%,100205.0,0.71,171707000.0,—,−1.10 USD,+64.63%,0.00%,Health technology,Strong buy
42,ACI,"Albertsons Companies, Inc.",18.37,+0.38%,2552000.0,0.84,10639000000.0,9.55,1.92 USD,−5.24%,2.61%,Retail trade,Buy
43,ACIC,American Coastal Insurance Corporation,10.63,+4.42%,454273.0,1.06,511788000.0,7.42,1.43 USD,—,0.00%,Finance,Buy
44,ACIU,AC Immune SA,3.32,−0.60%,44969.0,0.59,330939000.0,—,−0.72 USD,+15.23%,0.00%,Health technology,Strong buy
45,ACIW,"ACI Worldwide, Inc.",52.66,+2.15%,915788.0,1.30,5511000000.0,31.16,1.69 USD,+159.25%,0.00%,Technology services,Buy
46,ACLS,"Axcelis Technologies, Inc.",101.18,+1.86%,399049.0,0.85,3300000000.0,13.94,7.26 USD,+16.99%,0.00%,Producer manufacturing,Strong buy
47,ACLX,"Arcellx, Inc.",86.2,+3.98%,471627.0,1.02,4634000000.0,—,−1.08 USD,+73.62%,0.00%,Health technology,Strong buy
48,ACM,AECOM,105.82,+1.61%,571746.0,0.76,14187000000.0,56.88,1.86 USD,+96.34%,0.79%,Industrial services,Buy
49,ACMR,"ACM Research, Inc.",21.32,+2.65%,1012000.0,0.40,1332000000.0,16.96,1.26 USD,+23.19%,0.00%,Producer manufacturing,Strong buy
